A	x	y			
0	-0.0008307695389	-0.3796863556			
1	-0.1725862026	-0.3106584549			
2	0.1725862026	-0.3106584549			
3	-0.02052247524	-0.5834469795			
4	0.1794626713	-0.5365784168			
5	-0.2075690031	-0.5232120752			
6	-0.3106584549	-0.1725862026			
7	0.3106584549	-0.1725862026			
8	0.3532004356	-0.3756805658			
9	-0.3823102713	-0.413361311			
10	0.06358265877	-0.7612563372			
11	-0.3796863556	-0.002385377884			
12	0.3796863556	0.001941204071			
13	0.3917613029	-0.5690442324			
14	-0.1557158232	-0.7541577816			
15	0.4974088669	-0.1837152243			
16	-0.3473850489	-0.6801288128			
17	-0.5183426142	-0.2160823345			
18	0.2690048218	-0.7437443733			
19	0.5491962433	-0.3810682297			
20	-0.3106584549	0.1725862026			
21	0.3106584549	0.1725862026			
22	-0.5904468298	-0.4120205641			
23	-0.5347688198	-0.6102865934			
24	-0.1725862026	0.3106584549			
25	0.1725862026	0.3106584549			
26	-0.6128858328	-0.03896391392			
27	-0.06614899635	-0.948862195			
28	0.5969531536	-0.5789887905			
29	0.6000294685	0.006366491318			
30	0.1566946507	-0.9461724758			
31	0.4937074184	-0.7575631142			
32	0.5074603558	0.1920146942			
33	0.6927301884	-0.1831147671			
34	-0.2975224257	-0.9250001907			
35	-0.01887738705	0.4191355705			
36	-0.5320132971	0.180334568			
37	-0.5033229589	-0.8343393803			
38	0.3702435493	-0.9349941015			
39	0.7448301315	-0.3796534538			
40	-0.7502835989	-0.287997365			
41	0.3711483479	0.380607605			
42	-0.3646255732	0.4134764671			
43	-0.7525126934	-0.5494841337			
44	0.7865989208	-0.5719724894			
45	-0.823720336	-0.1053349972			
46	0.06384587288	-1.14051497			
47	-0.7217577696	-0.7507935762			
48	-0.1516360044	-1.138664246			
49	0.7247600555	0.1825554371			
50	-0.7687250376	0.1116850376			
51	0.8210799694	-0.008809447289			
52	0.7289221287	-0.7672526836			
53	0.5870990753	-0.9414346218			
54	0.2321054935	0.5569117069			
55	0.278595686	-1.128185034			
56	0.5904057026	0.374339819			
57	0.8930361271	-0.2222349644			
58	-0.6128035784	0.3649463654			
59	-0.3465542793	-1.132174373			
60	-0.01184463501	0.6258244514			
61	-0.5232285261	-1.045239687			
62	-0.9150967598	-0.4481878281			
63	-0.2708966732	0.6156413555			
64	0.9446425438	-0.4402502775			
65	0.4935264587	-1.125725627			
66	0.466596365	0.565268755			
67	-0.7176285982	-0.9632896185			
68	-0.9985109568	-0.2573411465			
69	0.9504168034	-0.6696331501			
70	-0.550216198	0.5782649517			
71	-0.9925310612	0.001628637314			
72	0.7886717319	-0.964959383			
73	0.8117852211	0.3630874157			
74	-0.9652801752	-0.6819959879			
75	-0.833812952	0.3398916721			
76	-0.05358874798	-1.335770488			
77	0.1749222279	-1.323350072			
78	1.029019117	-0.06197869778			
79	0.9527199268	0.1654136181			
80	-0.2805204391	-1.333722353			
81	-0.905867815	-0.884473443			
82	1.087502003	-0.2903416157			
83	0.6927630901	0.5486862659			
84	0.1633737087	0.7887539864			
85	0.3892607689	-1.311982512			
86	-0.9810154438	0.2055044174			
87	-0.5051654577	-1.273586154			
88	-0.130233407	0.8089063168			
89	0.7105464935	-1.139618397			
90	0.3758368492	0.754799366			
91	0.9532134533	-0.8721023798			
92	-0.7169787884	-1.167922139			
93	-1.114506125	-0.4997202158			
94	-0.7848962545	0.5441787243			
95	1.126161575	-0.5300227404			
96	-0.3579465151	0.8157498837			
97	-1.161917567	-0.1132231951			
98	0.596903801	0.7431685925			
99	0.6038460732	-1.318850756			
100	1.016648054	0.3888494968			
101	-1.22623229	-0.3190895319			
102	1.143764019	-0.7508676052			
103	0.05149126053	-1.522117853			
104	1.183015823	0.06506323814			
105	-0.186470747	-1.523787618			
106	1.241926432	-0.1496043205			
107	0.9187324047	0.5584251881			
108	-0.9524402618	-1.101838946			
109	0.9461066723	-1.112326384			
110	0.2805697918	-1.512329578			
111	-1.199063659	0.116653204			
112	-0.7354449034	0.7409148216			
113	-0.02544951439	0.9767053127			
114	-0.5666999817	0.8451969624			
115	-1.201144695	-0.7016876936			
116	-0.4367051125	-1.487414718			
117	-1.111281753	-0.9202623367			
118	1.275371075	-0.3754667044			
119	1.151660442	0.2701728344			
120	-0.6754074097	-1.389170051			
121	-1.01227212	0.5134649277			
122	0.8034939766	0.7234933376			
123	-1.130208492	0.3412899971			
124	0.3603894711	0.9622943401			
125	0.164591074	1.010495424			
126	0.8236134052	-1.31110239			
127	0.493904829	-1.505716324			
128	1.134337664	-0.9737030268			
129	-0.8817837238	-1.303600788			
130	0.5771298409	0.9345088005			
131	1.322321892	-0.6114052534			
132	-1.348149776	-0.504425168			
133	-0.2248259783	1.061822176			
134	-1.363210559	-0.08001708984			
135	-0.4312022924	1.044269085			
136	-0.965033412	0.7318339348			
137	0.7050354481	-1.508290887			
138	-0.07740962505	-1.709008098			
139	0.172668457	-1.705610991			
140	1.341289759	0.202082634			
141	-0.3473439217	-1.677636266			
142	1.147629976	0.5712404251			
143	1.41293335	-0.02216756344			
144	-1.44026649	-0.2813594341			
145	1.330053806	-0.8434202671			
146	-0.6160032749	-1.595571041			
147	0.8143515587	0.9101450443			
148	1.016845465	0.751739502			
149	1.456692696	-0.2382169962			
150	-1.346175671	-0.8629310131			
151	1.026913404	-1.338122964			
152	1.162731886	-1.188757181			
153	1.463437557	-0.4502853155			
154	1.288597584	0.4248604774			
155	-1.347031116	0.315939188			
156	0.4098572731	-1.713449836			
157	-0.8379667997	0.9345417023			
158	-1.277131319	-1.058696508			
159	0.03712964058	1.202131748			
160	-1.445374489	0.1144487858			
161	0.2790563107	1.187144995			
162	-1.26623261	0.5247831345			
163	-0.6467417479	1.070738554			
164	-0.8349233866	-1.544927001			
165	0.4956650734	1.139930964			
166	-1.196851015	-1.219355822			
167	0.9018373489	-1.511745572			
168	-1.484239697	-0.6558308601			
169	-1.181971192	0.7011694908			
170	1.335893869	-1.063179374			
171	0.6298220158	-1.704985857			
172	0.7085888386	1.10740757			
173	1.50695014	-0.7184758186			
174	-0.1657426357	1.282066584			
175	1.525769949	0.1476960182			
176	-1.091170549	-1.450392008			
177	-1.591614604	-0.4348297119			
178	-1.596278429	-0.1258327961			
179	-0.3513085842	-1.8577981			
180	0.09097337723	-1.898448229			
181	-0.1319442987	-1.898448229			
182	-0.6175743341	-1.791163802			
183	1.482783794	0.3729085922			
184	-0.4462137222	1.272327662			
185	1.065359116	0.9452841282			
186	-1.104652047	0.9145867825			
187	0.3128135204	-1.896301389			
188	1.245134354	0.7768764496			
189	1.62633419	-0.5137363672			
190	0.8437657356	-1.703710914			
191	1.645088196	-0.1147531271			
192	1.387450933	0.6143417358			
193	0.9236676693	1.086169481			
194	1.517478704	-0.9654611349			
195	1.228354454	-1.415047288			
196	1.080296516	-1.566346049			
197	0.1721913815	1.374421835			
198	-1.558844447	0.34283638			
199	1.367216349	-1.283432007			
200	1.691348076	-0.3165314198			
201	-0.9385392666	1.123101711			
202	-1.476491332	0.5563359261			
203	0.4206984043	1.360142469			
204	-1.657796502	0.1041669846			
205	-0.8184560537	-1.786499977			
206	-1.013020635	-1.669517756			
207	0.5868029594	-1.898448229			
208	1.691348076	0.09640216827			
209	-0.7034068108	1.297217846			
210	0.6338524818	1.329724789			
211	-1.354203701	0.8237121105			
212	-0.06375539303	1.471432686			
213	-0.3297661543	1.459308386			
214	0.8593940735	1.274055004			
215	1.678664446	0.3233420849			
216	1.699507713	-0.8629310131			
217	1.584877968	0.5551843643			
218	1.268165588	0.9858191013			
219	-1.801889777	-0.1758517027			
220	1.554312229	-1.214585066			
221	0.8501322269	-1.898448229			
222	1.064256907	-1.766158462			
223	1.27714777	-1.622303724			
224	1.108657837	1.185993433			
225	1.484247923	0.8165724277			
226	-0.579202652	1.489068031			
227	-1.773010254	0.3094739914			
228	-1.562800884	0.7434647083			
229	1.696859121	-1.093720436			
230	-0.940990448	1.336930275			
231	0.3131096363	1.564199209			
232	-1.314984798	1.070031166			
233	1.415203571	-1.553275824			
234	0.09653377533	1.61029458			
235	1.529487848	-1.438999772			
236	0.5422375202	1.553670645			
237	0.7838022709	1.482306719			
238	-1.741334081	0.5789723396			
239	1.484247923	0.9728229046			
240	-0.2463766336	1.653247833			
241	0.9972524643	1.421635866			
242	1.34280324	1.176320314			
243	-1.551967978	0.9746325016			
244	-1.553275824	-1.553275824			
245	1.885764599	-1.001677752			
246	-0.4820272923	1.679651499			
247	-0.8629310131	1.553275824			
248	-0.0811522007	1.767565012			
249	1.201769829	1.382367611			
250	1.733232021	-1.415203571			
251	1.846496344	-1.228486061			
252	-1.986657858	0.2988960743			
253	-0.7691445351	1.647062302			
254	-1.759874225	0.8265581131			
255	0.4044942856	1.766791821			
256	-1.269366503	-1.975249171			
257	0.6784672737	1.711335897			
258	0.1539638042	1.820257187			
259	-1.465206027	-1.848445773			
260	-1.691348076	-1.622303724			
261	0.924539566	1.662065506			
262	-2.009277821	0.5116388798			
263	1.388618946	1.389507294			
264	1.553275824	1.238866568			
265	-1.942692876	0.714938879			
266	1.130817175	1.591474771			
267	-1.148896694	-2.164755106			
268	-0.3410021067	1.884909153			
269	-1.748111844	1.057775259			
270	-0.655567646	1.829683542			
271	1.916511297	-1.415203571			
272	2.056376696	-1.158923507			
273	-1.070031166	-2.28113687			
274	-0.0747692585	1.984634399			
275	0.6596968174	1.922828436			
276	0.4524650574	1.978909492			
277	-1.367759228	-2.167740941			
278	0.8717980385	1.868326664			
279	1.335054874	1.62408042			
280	-1.999604702	0.9313008785			
281	-1.70644176	-1.895528197			
282	1.533534765	1.503988981			
283	0.157763958	2.073518515			
284	-2.167535305	0.6756541729			
285	-1.563072324	-2.076833367			
286	-0.5016285181	2.036520481			
287	2.101863384	-1.415203571			
288	1.143846273	1.806899071			
289	-0.9663330317	-2.485391021			
290	-1.898448229	-1.760375977			
291	-1.932567358	1.139075518			
292	-0.2512378693	2.105548382			
293	-1.216378212	-2.40600729			
294	-0.8629310131	-2.588793039			
295	2.230723143	-1.333269954			
296	-2.345319986	0.556763649			
297	0.3353841305	2.192655802			
298	-1.436836481	-2.359031796			
299	-2.238997936	0.8841691017			
300	1.447480202	1.797160149			
301	-1.899714947	-1.983852983			
302	-2.036520481	-1.829412103			
303	-1.766627312	-2.134822726			
304	-2.141205668	1.139075518			
305	0.2416305542	-2.864929318			
306	-1.630512714	-2.302531242			
307	-0.7511472702	-2.769612908			
308	-0.04380869865	2.303353786			
309	-1.166268826	-2.644602656			
310	-1.361828685	-2.5661484			
311	-2.443145156	0.7470674515			
312	-0.973744154	-2.773166299			
313	0.1858291626	2.401121378			
314	0.06889629364	-2.991156936			
315	-2.339496374	1.070031166			
316	-2.184767604	-1.898448229			
317	-2.65782094	-0.9319589138			
318	-2.102924466	-2.046506166			
319	-1.987307668	-2.190879107			
320	1.557141781	-2.564988613			
321	-1.579811096	-2.551013589			
322	-2.381692886	-1.691348076			
323	-1.862618208	-2.334445953			
324	-0.7248587608	-2.962499499			
325	-2.313462853	-1.828606009			
326	-2.65782094	-1.116817474			
327	-2.501208544	-1.571824193			
328	-1.752109408	-2.493345022			
329	-2.532152653	0.9842562675			
330	-2.795893192	-0.793894887			
331	-2.65782094	-1.30036819			
332	-1.311480761	-2.817345142			
333	-1.130150914	-2.912159801			
334	-1.485383034	-2.734926224			
335	-2.64934051	0.8058464527			
336	-0.9232646227	-3.016030669			
337	-2.343790054	-2.034793139			
338	-2.835696101	-0.9997859001			
339	-2.219783306	-2.20391643			
340	1.553275824	-2.778348327			
341	-1.187580943	2.393751383			
342	-2.094024539	-2.37289989			
343	-2.50002408	-1.867586374			
344	-2.933965445	-0.6558308601			
345	-0.7248587608	-3.158511758			
346	-2.693914175	-1.518992186			
347	-2.831953526	-1.194720626			
348	-1.957416415	-2.532440543			
349	-2.624549031	-1.711648464			
350	-1.477223396	2.312664986			
351	-1.675234437	-2.793590069			
352	-1.823193669	-2.688888431			
353	-1.026790023	2.562998056			
354	-2.985654116	-0.873393774			
355	-1.108493328	-3.134888291			
356	-1.331641316	-3.038140655			
357	-2.846117735	-1.398448348			
358	-3.052107453	-0.5376888514			
359	-1.527801633	-2.9522506			
360	-2.554879546	-2.053974867			
361	-1.382968068	2.496339083			
362	-2.437148809	-2.225713849			
363	-2.310172677	-2.38623333			
364	-3.018671036	-1.078157902			
365	1.722719908	-2.896292925			
366	-0.9098571539	-3.281070828			
367	-0.8755817413	2.714214563			
368	-2.153510928	-2.572564244			
369	1.508990049	-3.04729557			
370	-2.707379222	-1.893998265			
371	-3.120140076	-0.7465410233			
372	-2.998222589	-1.268617988			
373	-3.169361115	-0.4204351902			
374	0.5721123219	2.831065178			
375	-2.824303865	-1.74028945			
376	-0.6816587448	-3.391373992			
377	-2.031050563	-2.746581674			
378	-2.922104359	-1.582838058			
379	-1.733602166	-3.011087179			
380	-1.332406282	-3.230961442			
381	-1.896951199	-2.908170462			
382	-1.227128863	2.702172518			
383	-0.7248587608	2.865941048			
384	-3.179198742	-0.9702894688			
385	1.661341667	-3.09168005			
386	-1.151841402	-3.341445565			
387	-3.06044805	-1.433200836			
388	-3.254593134	-0.5947651863			
389	1.484247923	-3.20415473			
390	-2.342523336	-2.573880315			
391	-1.691348076	2.519765139			
392	2.734992027	1.519864082			
393	-2.757315874	-2.069644332			
394	-1.573971033	-3.169632554			
395	-3.284887433	-0.3049006462			
396	-2.642867088	-2.242205858			
397	-1.471095443	2.666934729			
398	0.2936153412	3.003124952			
399	-3.176747561	-1.215917587			
400	-2.533032775	-2.424736619			
401	3.141065598	0.7958936691			
402	1.829420328	-3.072037697			
403	-1.092626452	2.868490934			
404	-3.307474494	-0.7807095051			
405	-2.243867397	-2.770624638			
406	2.980077267	1.239590406			
407	2.682530165	1.7272439			
408	-1.014756203	-3.491173267			
409	3.082303047	1.047016382			
410	-2.922400475	-1.957679629			
411	-3.028492212	-1.777032495			
412	-0.5957933664	-3.615311623			
413	-0.8177404404	-3.570022345			
414	3.279154301	0.5805845261			
415	-0.6098670959	3.048957109			
416	-1.775667071	2.604075909			
417	-2.115089893	-2.950062633			
418	-3.396449089	-0.4551383257			
419	-3.142431021	-1.611536622			
420	2.593728304	1.924012899			
421	-1.436466336	-3.386159062			
422	-1.789510489	-3.202246428			
423	2.942108631	1.454669237			
424	-3.417210102	-0.1035500765			
425	-2.502458811	-2.641337156			
426	-3.371994853	-0.9438282251			
427	1.70579195	-3.278874636			
428	-3.249312401	-1.435224295			
429	-2.859113932	-2.213342786			
430	-3.347927213	-1.116513133			
431	-1.356770039	2.88351059			
432	-0.9518973827	3.029446363			
433	-1.989100814	-3.121513724			
434	3.396630049	0.3891785145			
435	2.502113342	2.116422415			
436	-1.623578668	2.780626774			
437	-2.758056164	-2.403046131			
438	-1.258673429	-3.5332793			
439	-3.461964726	-0.6404821873			
440	1.415203571	-3.491551638			
441	3.272754908	0.9600241184			
442	-3.357814193	-1.296321273			
443	-3.508857965	-0.283539176			
444	-1.652918816	-3.385114431			
445	-2.430897474	-2.823966622			
446	2.895190716	1.705759048			
447	3.486238003	0.1900570393			
448	-0.7647027969	3.146280527			
449	-2.687070608	-2.592650771			
450	3.383946419	0.7645876408			
451	1.598038673	-3.456503034			
452	-0.5177586079	-3.800367594			
453	-3.137347698	-1.954907656			
454	-0.5177586079	3.225902796			
455	3.14149332	1.377892971			
456	1.952028751	-3.263690472			
457	-2.32019949	-2.99197948			
458	-3.521105647	-0.8255628347			
459	-3.041085362	-2.143763781			
460	-1.159877658	3.078091621			
461	-1.021690249	-3.703693986			
462	3.555282354	0.03451395035			
463	-3.55258441	0.09288167953			
464	-3.249559164	-1.77666235			
465	2.817246437	1.916642904			
466	3.26497364	1.204188108			
467	-1.96747613	2.726865292			
468	-3.598071098	-0.4815831184			
469	-0.7763664722	-3.809547186			
470	-3.555274129	0.326813221			
471	-3.36297977	-1.597824812			
472	-1.893537641	-3.369189978			
473	-1.502023101	-3.579012752			
474	-3.543906569	-1.032416224			
475	2.500961781	2.32896781			
476	-2.205923438	-3.166021585			
477	3.07843709	1.626482248			
478	-2.97240293	-2.367232561			
479	3.625247955	-0.1044795513			
480	-1.567908883	2.989372015			
481	-2.632058859	-2.806874156			
482	-3.639214754	-0.1120634079			
483	-1.812064648	2.873228788			
484	1.83224988	-3.441549182			
485	3.544556379	0.5826244354			
486	-0.940151453	3.249690771			
487	-3.539505959	-1.238463521			
488	-1.360479712	3.114480972			
489	-3.485176921	-1.434434652			
490	2.376708269	2.517034292			
491	-2.894030929	-2.562932253			
492	2.746359587	2.164672852			
493	-3.668225884	-0.6865446568			
494	3.448598385	1.030516148			
